time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	5.842e-01	1.035e+00	1.446e+00	1.860e+00	2.273e+00	2.674e+00	3.056e+00
 0.1	5.822e-01	1.018e+00	1.396e+00	1.759e+00	2.108e+00	2.441e+00	2.756e+00
 0.2	5.688e-01	9.733e-01	1.312e+00	1.641e+00	1.969e+00	2.293e+00	2.612e+00
 0.3	5.620e-01	9.534e-01	1.286e+00	1.624e+00	1.972e+00	2.321e+00	2.666e+00
 0.4	5.621e-01	9.604e-01	1.316e+00	1.686e+00	2.070e+00	2.454e+00	2.830e+00
 0.5	5.631e-01	9.636e-01	1.313e+00	1.663e+00	2.011e+00	2.344e+00	2.655e+00
 0.6	5.647e-01	9.680e-01	1.311e+00	1.640e+00	1.950e+00	2.226e+00	2.459e+00
 0.7	5.691e-01	9.839e-01	1.341e+00	1.686e+00	2.021e+00	2.335e+00	2.615e+00
 0.8	5.707e-01	9.885e-01	1.333e+00	1.626e+00	1.850e+00	1.992e+00	2.070e+00
 0.9	5.766e-01	1.002e+00	1.347e+00	1.637e+00	1.865e+00	2.031e+00	2.146e+00
 1.0	5.831e-01	1.017e+00	1.371e+00	1.668e+00	1.901e+00	2.065e+00	2.177e+00
 1.1	5.850e-01	1.021e+00	1.373e+00	1.673e+00	1.927e+00	2.138e+00	2.312e+00
 1.2	5.879e-01	1.026e+00	1.369e+00	1.642e+00	1.854e+00	2.020e+00	2.167e+00
 1.3	5.889e-01	1.029e+00	1.376e+00	1.661e+00	1.894e+00	2.084e+00	2.249e+00
 1.4	5.933e-01	1.039e+00	1.398e+00	1.710e+00	1.996e+00	2.263e+00	2.518e+00
 1.5	5.981e-01	1.046e+00	1.403e+00	1.706e+00	1.969e+00	2.203e+00	2.415e+00
 1.6	5.994e-01	1.055e+00	1.429e+00	1.768e+00	2.094e+00	2.421e+00	2.755e+00
 1.7	6.007e-01	1.057e+00	1.429e+00	1.758e+00	2.062e+00	2.350e+00	2.627e+00
 1.8	5.956e-01	1.051e+00	1.424e+00	1.753e+00	2.053e+00	2.330e+00	2.587e+00
 1.9	5.914e-01	1.045e+00	1.413e+00	1.732e+00	2.014e+00	2.261e+00	2.473e+00
 2.0	5.849e-01	1.026e+00	1.371e+00	1.653e+00	1.887e+00	2.082e+00	2.247e+00
 2.1	5.791e-01	1.013e+00	1.348e+00	1.615e+00	1.833e+00	2.015e+00	2.177e+00
 2.2	5.688e-01	9.938e-01	1.317e+00	1.569e+00	1.771e+00	1.942e+00	2.099e+00
 2.3	5.576e-01	9.739e-01	1.288e+00	1.531e+00	1.725e+00	1.891e+00	2.042e+00
 2.4	5.507e-01	9.640e-01	1.276e+00	1.521e+00	1.723e+00	1.899e+00	2.067e+00
 2.5	5.467e-01	9.650e-01	1.290e+00	1.551e+00	1.771e+00	1.966e+00	2.148e+00
 2.6	5.440e-01	9.691e-01	1.308e+00	1.590e+00	1.835e+00	2.060e+00	2.275e+00
 2.7	5.431e-01	9.759e-01	1.328e+00	1.627e+00	1.894e+00	2.143e+00	2.384e+00
 2.8	5.423e-01	9.805e-01	1.344e+00	1.659e+00	1.945e+00	2.218e+00	2.486e+00
 2.9	5.406e-01	9.817e-01	1.350e+00	1.669e+00	1.958e+00	2.232e+00	2.499e+00
 3.0	5.389e-01	9.807e-01	1.353e+00	1.679e+00	1.979e+00	2.262e+00	2.537e+00
 3.1	5.367e-01	9.803e-01	1.359e+00	1.697e+00	2.016e+00	2.328e+00	2.640e+00
 3.2	5.334e-01	9.723e-01	1.343e+00	1.666e+00	1.955e+00	2.213e+00	2.439e+00
 3.3	5.336e-01	9.731e-01	1.341e+00	1.656e+00	1.925e+00	2.149e+00	2.323e+00
 3.4	5.344e-01	9.769e-01	1.346e+00	1.660e+00	1.929e+00	2.158e+00	2.347e+00
 3.5	5.320e-01	9.684e-01	1.326e+00	1.619e+00	1.857e+00	2.047e+00	2.190e+00
 3.6	5.287e-01	9.583e-01	1.303e+00	1.577e+00	1.787e+00	1.932e+00	2.012e+00
 3.7	5.284e-01	9.591e-01	1.308e+00	1.595e+00	1.835e+00	2.035e+00	2.199e+00
 3.8	5.344e-01	9.739e-01	1.331e+00	1.623e+00	1.869e+00	2.079e+00	2.261e+00
 3.9	5.431e-01	9.908e-01	1.352e+00	1.644e+00	1.885e+00	2.086e+00	2.253e+00
 4.0	5.501e-01	9.993e-01	1.349e+00	1.613e+00	1.806e+00	1.940e+00	2.022e+00
 4.1	5.595e-01	1.014e+00	1.357e+00	1.599e+00	1.758e+00	1.851e+00	1.897e+00
 4.2	5.720e-01	1.035e+00	1.375e+00	1.594e+00	1.710e+00	1.751e+00	1.753e+00
 4.3	5.859e-01	1.062e+00	1.415e+00	1.654e+00	1.799e+00	1.882e+00	1.936e+00
 4.4	5.968e-01	1.079e+00	1.435e+00	1.674e+00	1.819e+00	1.899e+00	1.943e+00
 4.5	6.067e-01	1.091e+00	1.444e+00	1.679e+00	1.821e+00	1.895e+00	1.919e+00
 4.6	6.165e-01	1.102e+00	1.448e+00	1.673e+00	1.813e+00	1.896e+00	1.941e+00
 4.7	6.257e-01	1.114e+00	1.450e+00	1.658e+00	1.777e+00	1.844e+00	1.879e+00
 4.8	6.341e-01	1.127e+00	1.453e+00	1.632e+00	1.708e+00	1.724e+00	1.708e+00
 4.9	6.430e-01	1.142e+00	1.461e+00	1.616e+00	1.661e+00	1.646e+00	1.604e+00
 5.0	6.503e-01	1.144e+00	1.430e+00	1.530e+00	1.518e+00	1.460e+00	1.390e+00
 5.1	6.591e-01	1.142e+00	1.386e+00	1.425e+00	1.357e+00	1.252e+00	1.146e+00
 5.2	6.673e-01	1.139e+00	1.345e+00	1.335e+00	1.222e+00	1.081e+00	9.496e-01
 5.3	6.748e-01	1.141e+00	1.333e+00	1.302e+00	1.159e+00	9.728e-01	7.789e-01
 5.4	6.591e-01	1.142e+00	1.386e+00	1.425e+00	1.357e+00	1.252e+00	1.146e+00
 5.5	6.673e-01	1.139e+00	1.345e+00	1.335e+00	1.222e+00	1.081e+00	9.496e-01
 5.6	6.788e-01	1.137e+00	1.323e+00	1.301e+00	1.181e+00	1.026e+00	8.680e-01
 5.7	6.845e-01	1.142e+00	1.331e+00	1.316e+00	1.194e+00	1.026e+00	8.428e-01
 5.8	6.869e-01	1.148e+00	1.346e+00	1.348e+00	1.244e+00	1.093e+00	9.238e-01
 5.9	6.845e-01	1.143e+00	1.343e+00	1.348e+00	1.252e+00	1.114e+00	9.649e-01
 6.0	6.759e-01	1.127e+00	1.326e+00	1.335e+00	1.244e+00	1.114e+00	9.719e-01
 6.1	6.705e-01	1.111e+00	1.296e+00	1.296e+00	1.207e+00	1.091e+00	9.795e-01
 6.2	6.669e-01	1.101e+00	1.277e+00	1.272e+00	1.185e+00	1.081e+00	9.910e-01
 6.3	6.537e-01	1.092e+00	1.292e+00	1.317e+00	1.262e+00	1.188e+00	1.126e+00
 6.4	6.426e-01	1.082e+00	1.296e+00	1.340e+00	1.307e+00	1.265e+00	1.245e+00
