time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	7.730e-01	1.411e+00	2.059e+00	2.742e+00	3.432e+00	4.113e+00	4.780e+00
 0.1	7.739e-01	1.417e+00	2.073e+00	2.770e+00	3.479e+00	4.184e+00	4.879e+00
 0.2	7.699e-01	1.408e+00	2.056e+00	2.750e+00	3.460e+00	4.170e+00	4.871e+00
 0.3	7.707e-01	1.410e+00	2.052e+00	2.734e+00	3.431e+00	4.124e+00	4.802e+00
 0.4	7.695e-01	1.408e+00	2.044e+00	2.719e+00	3.413e+00	4.106e+00	4.786e+00
 0.5	7.690e-01	1.408e+00	2.039e+00	2.705e+00	3.392e+00	4.081e+00	4.764e+00
 0.6	7.700e-01	1.411e+00	2.033e+00	2.681e+00	3.344e+00	4.006e+00	4.659e+00
 0.7	7.668e-01	1.406e+00	2.020e+00	2.652e+00	3.293e+00	3.929e+00	4.551e+00
 0.8	7.676e-01	1.406e+00	2.006e+00	2.608e+00	3.210e+00	3.801e+00	4.372e+00
 0.9	7.670e-01	1.405e+00	1.994e+00	2.574e+00	3.146e+00	3.702e+00	4.237e+00
 1.0	7.639e-01	1.399e+00	1.971e+00	2.516e+00	3.034e+00	3.524e+00	3.986e+00
 1.1	7.572e-01	1.387e+00	1.947e+00	2.466e+00	2.949e+00	3.396e+00	3.815e+00
 1.2	7.502e-01	1.379e+00	1.937e+00	2.447e+00	2.916e+00	3.347e+00	3.748e+00
 1.3	7.371e-01	1.358e+00	1.905e+00	2.400e+00	2.850e+00	3.261e+00	3.641e+00
 1.4	7.230e-01	1.337e+00	1.883e+00	2.381e+00	2.840e+00	3.266e+00	3.663e+00
 1.5	5.351e-01	7.845e-01	1.083e+00	1.333e+00	1.507e+00	1.619e+00	1.687e+00
 1.6	6.214e-01	1.049e+00	1.409e+00	1.699e+00	1.901e+00	2.017e+00	2.064e+00
 1.7	6.371e-01	1.125e+00	1.383e+00	1.428e+00	1.391e+00	1.348e+00	1.320e+00
 1.8	6.394e-01	1.262e+00	1.924e+00	2.564e+00	3.153e+00	3.690e+00	4.184e+00
 1.9	6.155e-01	1.169e+00	1.735e+00	2.281e+00	2.784e+00	3.249e+00	3.686e+00
 2.0	6.201e-01	1.147e+00	1.611e+00	1.991e+00	2.287e+00	2.527e+00	2.739e+00
 2.1	6.375e-01	1.197e+00	1.683e+00	2.063e+00	2.339e+00	2.548e+00	2.724e+00
 2.2	6.485e-01	1.225e+00	1.727e+00	2.124e+00	2.436e+00	2.703e+00	2.953e+00
 2.3	6.541e-01	1.236e+00	1.745e+00	2.175e+00	2.556e+00	2.920e+00	3.282e+00
 2.4	6.589e-01	1.249e+00	1.782e+00	2.259e+00	2.703e+00	3.129e+00	3.540e+00
 2.5	6.636e-01	1.272e+00	1.862e+00	2.446e+00	3.020e+00	3.576e+00	4.110e+00
 2.6	6.683e-01	1.282e+00	1.873e+00	2.452e+00	3.020e+00	3.576e+00	4.120e+00
 2.7	6.635e-01	1.268e+00	1.844e+00	2.404e+00	2.953e+00	3.491e+00	4.018e+00
 2.8	6.601e-01	1.255e+00	1.811e+00	2.341e+00	2.852e+00	3.350e+00	3.841e+00
 2.9	6.582e-01	1.247e+00	1.792e+00	2.309e+00	2.808e+00	3.292e+00	3.762e+00
 3.0	6.598e-01	1.243e+00	1.771e+00	2.259e+00	2.722e+00	3.169e+00	3.603e+00
 3.1	6.545e-01	1.224e+00	1.722e+00	2.165e+00	2.570e+00	2.949e+00	3.310e+00
 3.2	6.461e-01	1.204e+00	1.683e+00	2.096e+00	2.461e+00	2.792e+00	3.097e+00
 3.3	6.403e-01	1.189e+00	1.654e+00	2.050e+00	2.394e+00	2.703e+00	2.989e+00
 3.4	6.346e-01	1.176e+00	1.636e+00	2.031e+00	2.380e+00	2.703e+00	3.012e+00
 3.5	6.336e-01	1.172e+00	1.626e+00	2.012e+00	2.352e+00	2.664e+00	2.960e+00
 3.6	6.358e-01	1.181e+00	1.646e+00	2.050e+00	2.417e+00	2.767e+00	3.115e+00
 3.7	6.332e-01	1.178e+00	1.642e+00	2.043e+00	2.404e+00	2.748e+00	3.088e+00
 3.8	6.313e-01	1.173e+00	1.629e+00	2.010e+00	2.337e+00	2.630e+00	2.908e+00
 3.9	6.337e-01	1.182e+00	1.651e+00	2.048e+00	2.393e+00	2.710e+00	3.015e+00
 4.0	6.356e-01	1.184e+00	1.648e+00	2.031e+00	2.351e+00	2.630e+00	2.890e+00
 4.1	6.332e-01	1.172e+00	1.607e+00	1.930e+00	2.152e+00	2.307e+00	2.428e+00
 4.2	6.289e-01	1.156e+00	1.553e+00	1.787e+00	1.868e+00	1.852e+00	1.793e+00
 4.3	6.248e-01	1.141e+00	1.518e+00	1.730e+00	1.802e+00	1.794e+00	1.755e+00
 4.4	6.197e-01	1.121e+00	1.460e+00	1.600e+00	1.584e+00	1.504e+00	1.426e+00
 4.5	6.136e-01	1.097e+00	1.399e+00	1.494e+00	1.459e+00	1.389e+00	1.341e+00
 4.6	6.099e-01	1.083e+00	1.379e+00	1.494e+00	1.494e+00	1.445e+00	1.381e+00
 4.7	6.091e-01	1.081e+00	1.386e+00	1.530e+00	1.564e+00	1.541e+00	1.488e+00
 4.8	6.139e-01	1.088e+00	1.402e+00	1.564e+00	1.622e+00	1.622e+00	1.590e+00
 4.9	6.157e-01	1.085e+00	1.393e+00	1.552e+00	1.604e+00	1.592e+00	1.543e+00
