time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	6.176e-01	1.199e+00	1.779e+00	2.356e+00	2.919e+00	3.460e+00	3.976e+00
 0.1	6.182e-01	1.193e+00	1.761e+00	2.324e+00	2.872e+00	3.400e+00	3.909e+00
 0.2	6.065e-01	1.156e+00	1.684e+00	2.194e+00	2.676e+00	3.122e+00	3.533e+00
 0.3	5.875e-01	1.105e+00	1.593e+00	2.056e+00	2.483e+00	2.868e+00	3.207e+00
 0.4	5.648e-01	1.053e+00	1.513e+00	1.959e+00	2.385e+00	2.783e+00	3.150e+00
 0.5	5.415e-01	1.001e+00	1.435e+00	1.870e+00	2.304e+00	2.729e+00	3.139e+00
 0.6	5.189e-01	9.480e-01	1.347e+00	1.747e+00	2.149e+00	2.544e+00	2.922e+00
 0.7	4.994e-01	9.090e-01	1.288e+00	1.670e+00	2.061e+00	2.455e+00	2.843e+00
 0.8	4.806e-01	8.758e-01	1.240e+00	1.605e+00	1.980e+00	2.360e+00	2.739e+00
 0.9	4.595e-01	8.359e-01	1.191e+00	1.569e+00	1.907e+00	2.198e+00	2.443e+00
 1.0	4.336e-01	7.757e-01	1.064e+00	1.291e+00	1.376e+00	1.241e+00	9.012e-01
 1.1	4.116e-01	7.340e-01	1.009e+00	1.255e+00	1.449e+00	1.534e+00	1.464e+00
 1.2	3.880e-01	6.896e-01	9.342e-01	1.083e+00	1.022e+00	6.882e-01	1.110e-01
 1.3	3.769e-01	7.064e-01	1.080e+00	1.579e+00	2.212e+00	2.909e+00	3.597e+00
 1.4	3.955e-01	7.688e-01	1.216e+00	1.803e+00	2.506e+00	3.234e+00	3.897e+00
 1.5	4.088e-01	8.195e-01	1.333e+00	2.029e+00	2.870e+00	3.763e+00	4.648e+00
 1.6	4.228e-01	8.916e-01	1.511e+00	2.302e+00	3.165e+00	4.011e+00	4.795e+00
 1.7	4.281e-01	9.310e-01	1.625e+00	2.504e+00	3.448e+00	4.364e+00	5.207e+00
 1.8	4.083e-01	8.612e-01	1.447e+00	2.193e+00	3.027e+00	3.849e+00	4.585e+00
 1.9	3.665e-01	7.310e-01	1.139e+00	1.644e+00	2.266e+00	2.965e+00	3.681e+00
 2.0	3.335e-01	6.471e-01	9.569e-01	1.294e+00	1.708e+00	2.234e+00	2.856e+00
 2.1	3.115e-01	5.974e-01	8.663e-01	1.133e+00	1.430e+00	1.799e+00	2.254e+00
 2.2	2.881e-01	5.510e-01	7.961e-01	1.035e+00	1.293e+00	1.612e+00	2.022e+00
 2.3	2.623e-01	4.978e-01	7.154e-01	9.276e-01	1.159e+00	1.452e+00	1.853e+00
 2.4	2.329e-01	4.313e-01	6.007e-01	7.491e-01	8.889e-01	1.040e+00	1.230e+00
 2.5	1.950e-01	3.451e-01	4.508e-01	5.155e-01	5.481e-01	5.610e-01	5.683e-01
 2.6	1.556e-01	2.666e-01	3.284e-01	3.394e-01	3.066e-01	2.403e-01	1.527e-01
 2.7	1.325e-01	2.215e-01	2.644e-01	2.611e-01	2.197e-01	1.527e-01	7.298e-02
 2.8	1.179e-01	1.932e-01	2.396e-01	2.618e-01	2.662e-01	2.612e-01	2.542e-01
 2.9	6.775e-02	5.915e-02	-4.866e-03	-1.136e-01	-2.582e-01	-4.254e-01	-5.970e-01
 3.0	2.122e-02	-5.577e-02	-1.947e-01	-3.762e-01	-5.874e-01	-8.151e-01	-1.042e+00
 3.1	-1.731e-02	-1.441e-01	-3.472e-01	-6.015e-01	-8.833e-01	-1.169e+00	-1.441e+00
 3.2	-5.078e-02	-1.984e-01	-4.031e-01	-6.367e-01	-8.793e-01	-1.117e+00	-1.343e+00
