time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	7.151e-01	1.330e+00	1.972e+00	2.646e+00	3.326e+00	3.998e+00	4.655e+00
 0.1	7.020e-01	1.313e+00	1.960e+00	2.648e+00	3.349e+00	4.049e+00	4.744e+00
 0.2	6.893e-01	1.290e+00	1.925e+00	2.604e+00	3.301e+00	4.000e+00	4.694e+00
 0.3	6.828e-01	1.278e+00	1.902e+00	2.565e+00	3.245e+00	3.927e+00	4.603e+00
 0.4	6.769e-01	1.267e+00	1.876e+00	2.521e+00	3.185e+00	3.856e+00	4.526e+00
 0.5	6.706e-01	1.255e+00	1.847e+00	2.465e+00	3.097e+00	3.733e+00	4.368e+00
 0.6	6.670e-01	1.252e+00	1.839e+00	2.447e+00	3.066e+00	3.687e+00	4.307e+00
 0.7	6.652e-01	1.255e+00	1.844e+00	2.450e+00	3.067e+00	3.684e+00	4.297e+00
 0.8	6.670e-01	1.261e+00	1.846e+00	2.440e+00	3.036e+00	3.628e+00	4.212e+00
 0.9	6.703e-01	1.270e+00	1.853e+00	2.433e+00	3.008e+00	3.570e+00	4.118e+00
 1.0	6.724e-01	1.275e+00	1.851e+00	2.407e+00	2.939e+00	3.444e+00	3.922e+00
 1.1	6.752e-01	1.280e+00	1.846e+00	2.380e+00	2.877e+00	3.338e+00	3.769e+00
 1.2	6.777e-01	1.285e+00	1.847e+00	2.369e+00	2.851e+00	3.294e+00	3.705e+00
 1.3	6.770e-01	1.284e+00	1.839e+00	2.348e+00	2.811e+00	3.232e+00	3.619e+00
 1.4	6.701e-01	1.273e+00	1.821e+00	2.321e+00	2.774e+00	3.187e+00	3.567e+00
 1.5	5.233e-01	7.731e-01	1.058e+00	1.353e+00	1.619e+00	1.838e+00	2.004e+00
 1.6	6.416e-01	1.172e+00	1.604e+00	1.983e+00	2.321e+00	2.599e+00	2.798e+00
 1.7	6.446e-01	1.239e+00	1.665e+00	1.830e+00	1.823e+00	1.766e+00	1.714e+00
 1.8	6.180e-01	1.219e+00	1.829e+00	2.435e+00	3.021e+00	3.576e+00	4.096e+00
 1.9	6.015e-01	1.175e+00	1.743e+00	2.293e+00	2.810e+00	3.306e+00	3.791e+00
 2.0	5.975e-01	1.168e+00	1.717e+00	2.224e+00	2.655e+00	2.991e+00	3.241e+00
 2.1	5.872e-01	1.152e+00	1.703e+00	2.219e+00	2.655e+00	2.981e+00	3.210e+00
 2.2	5.763e-01	1.130e+00	1.674e+00	2.191e+00	2.638e+00	2.991e+00	3.271e+00
 2.3	5.669e-01	1.109e+00	1.644e+00	2.161e+00	2.634e+00	3.063e+00	3.462e+00
 2.4	5.552e-01	1.087e+00	1.624e+00	2.183e+00	2.755e+00	3.299e+00	3.791e+00
 2.5	5.420e-01	1.063e+00	1.597e+00	2.186e+00	2.858e+00	3.577e+00	4.271e+00
 2.6	5.258e-01	1.029e+00	1.534e+00	2.071e+00	2.662e+00	3.299e+00	3.950e+00
 2.7	5.021e-01	9.738e-01	1.436e+00	1.911e+00	2.423e+00	2.987e+00	3.595e+00
 2.8	4.776e-01	9.154e-01	1.331e+00	1.745e+00	2.180e+00	2.653e+00	3.173e+00
 2.9	4.546e-01	8.611e-01	1.234e+00	1.591e+00	1.952e+00	2.339e+00	2.767e+00
 3.0	4.343e-01	8.168e-01	1.157e+00	1.465e+00	1.758e+00	2.058e+00	2.384e+00
 3.1	4.090e-01	7.673e-01	1.079e+00	1.349e+00	1.587e+00	1.812e+00	2.043e+00
 3.2	3.769e-01	7.083e-01	9.993e-01	1.252e+00	1.470e+00	1.666e+00	1.852e+00
 3.3	3.384e-01	6.385e-01	9.151e-01	1.173e+00	1.412e+00	1.637e+00	1.853e+00
 3.4	2.916e-01	5.495e-01	7.982e-01	1.046e+00	1.295e+00	1.545e+00	1.797e+00
 3.5	2.438e-01	4.549e-01	6.664e-01	8.884e-01	1.123e+00	1.369e+00	1.626e+00
 3.6	1.983e-01	3.597e-01	5.274e-01	7.144e-01	9.237e-01	1.154e+00	1.403e+00
 3.7	1.417e-01	2.552e-01	3.777e-01	5.219e-01	6.908e-01	8.846e-01	1.102e+00
 3.8	1.043e-01	1.676e-01	2.404e-01	3.361e-01	4.540e-01	5.918e-01	7.460e-01
 3.9	6.559e-02	1.142e-01	1.857e-01	2.866e-01	4.139e-01	5.623e-01	7.275e-01
 4.0	1.137e-02	3.900e-02	1.111e-01	2.238e-01	3.660e-01	5.270e-01	6.990e-01
 4.1	-8.340e-02	-1.378e-01	-1.277e-01	-5.948e-02	5.143e-02	1.914e-01	3.504e-01
 4.2	-1.668e-01	-3.173e-01	-4.131e-01	-4.593e-01	-4.705e-01	-4.591e-01	-4.333e-01
 4.3	-2.138e-01	-3.537e-01	-4.027e-01	-3.903e-01	-3.446e-01	-2.834e-01	-2.153e-01
 4.4	-2.542e-01	-4.389e-01	-5.041e-01	-4.876e-01	-4.303e-01	-3.547e-01	-2.713e-01
 4.5	-2.177e-01	-3.491e-01	-3.880e-01	-3.683e-01	-3.173e-01	-2.493e-01	-1.722e-01
 4.6	-2.317e-01	-3.630e-01	-3.951e-01	-3.733e-01	-3.277e-01	-2.720e-01	-2.127e-01
 4.7	-2.283e-01	-3.574e-01	-3.899e-01	-3.657e-01	-3.138e-01	-2.492e-01	-1.813e-01
 4.8	-2.201e-01	-3.383e-01	-3.579e-01	-3.230e-01	-2.644e-01	-1.971e-01	-1.272e-01
 4.9	-2.187e-01	-3.333e-01	-3.472e-01	-3.042e-01	-2.365e-01	-1.622e-01	-9.049e-02
