time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	5.626e-01	1.019e+00	1.436e+00	1.848e+00	2.255e+00	2.652e+00	3.034e+00
 0.1	5.593e-01	1.003e+00	1.392e+00	1.761e+00	2.117e+00	2.458e+00	2.783e+00
 0.2	5.409e-01	9.486e-01	1.292e+00	1.617e+00	1.936e+00	2.250e+00	2.561e+00
 0.3	5.280e-01	9.180e-01	1.256e+00	1.591e+00	1.933e+00	2.275e+00	2.612e+00
 0.4	5.243e-01	9.195e-01	1.280e+00	1.653e+00	2.040e+00	2.430e+00	2.815e+00
 0.5	5.212e-01	9.167e-01	1.275e+00	1.634e+00	1.992e+00	2.339e+00	2.664e+00
 0.6	5.215e-01	9.234e-01	1.284e+00	1.634e+00	1.968e+00	2.270e+00	2.528e+00
 0.7	5.208e-01	9.287e-01	1.298e+00	1.662e+00	2.017e+00	2.352e+00	2.649e+00
 0.8	5.200e-01	9.291e-01	1.294e+00	1.634e+00	1.933e+00	2.160e+00	2.302e+00
 0.9	5.188e-01	9.308e-01	1.294e+00	1.626e+00	1.914e+00	2.140e+00	2.298e+00
 1.0	5.215e-01	9.390e-01	1.306e+00	1.638e+00	1.923e+00	2.140e+00	2.288e+00
 1.1	5.177e-01	9.324e-01	1.294e+00	1.622e+00	1.914e+00	2.165e+00	2.372e+00
 1.2	5.160e-01	9.303e-01	1.288e+00	1.601e+00	1.863e+00	2.069e+00	2.232e+00
 1.3	5.132e-01	9.254e-01	1.282e+00	1.599e+00	1.873e+00	2.098e+00	2.280e+00
 1.4	5.087e-01	9.168e-01	1.273e+00	1.600e+00	1.906e+00	2.195e+00	2.467e+00
 1.5	5.046e-01	9.101e-01	1.265e+00	1.592e+00	1.896e+00	2.178e+00	2.434e+00
 1.6	5.008e-01	9.054e-01	1.262e+00	1.598e+00	1.928e+00	2.259e+00	2.598e+00
 1.7	4.926e-01	8.918e-01	1.246e+00	1.579e+00	1.902e+00	2.219e+00	2.529e+00
 1.8	4.822e-01	8.776e-01	1.235e+00	1.580e+00	1.922e+00	2.263e+00	2.599e+00
 1.9	4.721e-01	8.616e-01	1.215e+00	1.554e+00	1.883e+00	2.197e+00	2.486e+00
 2.0	4.669e-01	8.539e-01	1.201e+00	1.524e+00	1.823e+00	2.093e+00	2.329e+00
 2.1	4.637e-01	8.493e-01	1.191e+00	1.501e+00	1.781e+00	2.030e+00	2.250e+00
 2.2	4.584e-01	8.414e-01	1.176e+00	1.473e+00	1.734e+00	1.962e+00	2.165e+00
 2.3	4.516e-01	8.295e-01	1.156e+00	1.440e+00	1.685e+00	1.897e+00	2.082e+00
 2.4	4.473e-01	8.231e-01	1.148e+00	1.432e+00	1.682e+00	1.904e+00	2.107e+00
 2.5	4.430e-01	8.198e-01	1.149e+00	1.443e+00	1.707e+00	1.948e+00	2.173e+00
 2.6	4.398e-01	8.183e-01	1.155e+00	1.461e+00	1.744e+00	2.011e+00	2.268e+00
 2.7	4.365e-01	8.146e-01	1.154e+00	1.467e+00	1.762e+00	2.045e+00	2.320e+00
 2.8	4.283e-01	8.005e-01	1.135e+00	1.445e+00	1.742e+00	2.031e+00	2.317e+00
 2.9	4.164e-01	7.764e-01	1.099e+00	1.398e+00	1.685e+00	1.967e+00	2.247e+00
 3.0	4.094e-01	7.632e-01	1.081e+00	1.380e+00	1.673e+00	1.969e+00	2.275e+00
 3.1	4.058e-01	7.560e-01	1.071e+00	1.370e+00	1.668e+00	1.975e+00	2.301e+00
 3.2	4.028e-01	7.476e-01	1.051e+00	1.331e+00	1.599e+00	1.865e+00	2.133e+00
 3.3	3.961e-01	7.292e-01	1.012e+00	1.260e+00	1.489e+00	1.709e+00	1.925e+00
 3.4	3.841e-01	6.977e-01	9.487e-01	1.155e+00	1.335e+00	1.504e+00	1.670e+00
 3.5	3.694e-01	6.697e-01	9.101e-01	1.112e+00	1.295e+00	1.470e+00	1.646e+00
 3.6	3.517e-01	6.298e-01	8.474e-01	1.026e+00	1.182e+00	1.329e+00	1.472e+00
 3.7	3.252e-01	5.753e-01	7.702e-01	9.331e-01	1.082e+00	1.225e+00	1.368e+00
 3.8	2.946e-01	5.072e-01	6.672e-01	8.052e-01	9.372e-01	1.071e+00	1.208e+00
 3.9	2.555e-01	4.261e-01	5.523e-01	6.679e-01	7.905e-01	9.262e-01	1.074e+00
 4.0	2.081e-01	3.171e-01	3.701e-01	4.037e-01	4.405e-01	4.922e-01	5.622e-01
 4.1	1.715e-01	2.179e-01	2.036e-01	1.780e-01	1.682e-01	1.863e-01	2.364e-01
 4.2	1.482e-01	1.869e-01	1.670e-01	1.329e-01	1.122e-01	1.199e-01	1.614e-01
 4.3	1.420e-01	2.035e-01	2.268e-01	2.451e-01	2.750e-01	3.230e-01	3.872e-01
 4.4	1.241e-01	1.792e-01	2.058e-01	2.341e-01	2.801e-01	3.470e-01	4.308e-01
 4.5	1.124e-01	1.735e-01	2.234e-01	2.875e-01	3.751e-01	4.843e-01	6.080e-01
 4.6	1.139e-01	1.926e-01	2.650e-01	3.468e-01	4.427e-01	5.493e-01	6.612e-01
 4.7	8.864e-02	1.518e-01	2.166e-01	2.947e-01	3.865e-01	4.877e-01	5.925e-01
 4.8	4.591e-02	7.320e-02	1.070e-01	1.554e-01	2.179e-01	2.906e-01	3.680e-01
 4.9	2.424e-04	4.744e-03	3.113e-02	7.958e-02	1.443e-01	2.183e-01	2.960e-01
 5.0	-4.260e-02	-7.678e-02	-8.384e-02	-6.036e-02	-9.270e-03	6.219e-02	1.473e-01
 5.1	-9.510e-02	-1.732e-01	-2.102e-01	-2.091e-01	-1.821e-01	-1.384e-01	-8.407e-02
 5.2	-1.694e-01	-3.089e-01	-3.974e-01	-4.413e-01	-4.503e-01	-4.315e-01	-3.902e-01
 5.3	-1.381e-01	-2.654e-01	-3.606e-01	-4.282e-01	-4.777e-01	-5.165e-01	-5.499e-01
 5.4	-9.510e-02	-1.732e-01	-2.102e-01	-2.091e-01	-1.821e-01	-1.384e-01	-8.407e-02
 5.5	-1.694e-01	-3.089e-01	-3.974e-01	-4.413e-01	-4.503e-01	-4.315e-01	-3.902e-01
 5.6	-2.074e-01	-3.978e-01	-5.434e-01	-6.497e-01	-7.293e-01	-7.924e-01	-8.450e-01
 5.7	-1.601e-01	-2.961e-01	-3.865e-01	-4.383e-01	-4.630e-01	-4.714e-01	-4.717e-01
 5.8	-2.051e-01	-3.840e-01	-5.250e-01	-6.378e-01	-7.346e-01	-8.224e-01	-9.038e-01
 5.9	-2.105e-01	-3.866e-01	-5.132e-01	-5.985e-01	-6.580e-01	-7.051e-01	-7.487e-01
 6.0	-1.834e-01	-3.356e-01	-4.408e-01	-5.066e-01	-5.464e-01	-5.707e-01	-5.859e-01
 6.1	-2.249e-01	-3.983e-01	-5.031e-01	-5.462e-01	-5.430e-01	-5.081e-01	-4.519e-01
 6.2	-2.503e-01	-4.440e-01	-5.542e-01	-5.922e-01	-5.827e-01	-5.449e-01	-4.911e-01
 6.3	-2.187e-01	-4.068e-01	-5.272e-01	-5.809e-01	-5.868e-01	-5.637e-01	-5.253e-01
 6.4	-2.106e-01	-3.570e-01	-4.094e-01	-3.739e-01	-2.736e-01	-1.315e-01	3.628e-02
 6.5	-2.190e-01	-4.025e-01	-5.095e-01	-5.394e-01	-5.119e-01	-4.472e-01	-3.585e-01
