time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	4.184e-01	8.385e-01	1.259e+00	1.650e+00	1.976e+00	2.218e+00	2.371e+00
 0.1	4.118e-01	7.942e-01	1.160e+00	1.486e+00	1.755e+00	1.959e+00	2.104e+00
 0.2	3.880e-01	7.232e-01	1.020e+00	1.270e+00	1.480e+00	1.672e+00	1.860e+00
 0.3	3.752e-01	6.904e-01	9.987e-01	1.306e+00	1.609e+00	1.909e+00	2.205e+00
 0.4	3.826e-01	7.121e-01	1.088e+00	1.501e+00	1.929e+00	2.360e+00	2.793e+00
 0.5	3.866e-01	7.280e-01	1.129e+00	1.580e+00	2.056e+00	2.542e+00	3.040e+00
 0.6	3.992e-01	7.590e-01	1.183e+00	1.659e+00	2.165e+00	2.692e+00	3.233e+00
 0.7	4.013e-01	7.568e-01	1.167e+00	1.625e+00	2.108e+00	2.604e+00	3.105e+00
 0.8	4.017e-01	7.620e-01	1.177e+00	1.633e+00	2.110e+00	2.595e+00	3.086e+00
 0.9	4.027e-01	7.652e-01	1.176e+00	1.622e+00	2.080e+00	2.537e+00	2.988e+00
 1.0	4.098e-01	7.810e-01	1.187e+00	1.616e+00	2.049e+00	2.475e+00	2.893e+00
 1.1	4.077e-01	7.721e-01	1.161e+00	1.565e+00	1.968e+00	2.365e+00	2.757e+00
 1.2	4.152e-01	7.846e-01	1.176e+00	1.590e+00	2.018e+00	2.462e+00	2.925e+00
 1.3	4.247e-01	8.020e-01	1.205e+00	1.643e+00	2.118e+00	2.637e+00	3.211e+00
 1.4	4.322e-01	8.184e-01	1.232e+00	1.687e+00	2.187e+00	2.741e+00	3.357e+00
 1.5	4.374e-01	8.358e-01	1.260e+00	1.719e+00	2.213e+00	2.745e+00	3.323e+00
 1.6	4.349e-01	8.339e-01	1.256e+00	1.710e+00	2.199e+00	2.727e+00	3.296e+00
 1.7	4.410e-01	8.491e-01	1.264e+00	1.689e+00	2.120e+00	2.554e+00	2.993e+00
 1.8	4.461e-01	8.667e-01	1.307e+00	1.779e+00	2.288e+00	2.827e+00	3.376e+00
