time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	6.313e-01	1.219e+00	1.867e+00	2.542e+00	3.213e+00	3.869e+00	4.509e+00
 0.1	6.240e-01	1.212e+00	1.857e+00	2.527e+00	3.190e+00	3.835e+00	4.457e+00
 0.2	6.244e-01	1.196e+00	1.803e+00	2.423e+00	3.033e+00	3.625e+00	4.199e+00
 0.3	6.423e-01	1.219e+00	1.811e+00	2.406e+00	2.983e+00	3.534e+00	4.062e+00
 0.4	6.612e-01	1.248e+00	1.832e+00	2.413e+00	2.978e+00	3.523e+00	4.050e+00
 0.5	6.845e-01	1.288e+00	1.869e+00	2.442e+00	3.003e+00	3.548e+00	4.085e+00
 0.6	7.046e-01	1.330e+00	1.915e+00	2.484e+00	3.041e+00	3.587e+00	4.128e+00
 0.7	7.285e-01	1.380e+00	1.978e+00	2.552e+00	3.117e+00	3.679e+00	4.240e+00
 0.8	7.495e-01	1.424e+00	2.028e+00	2.598e+00	3.156e+00	3.713e+00	4.272e+00
 0.9	7.699e-01	1.473e+00	2.095e+00	2.674e+00	3.238e+00	3.797e+00	4.360e+00
 1.0	7.911e-01	1.515e+00	2.146e+00	2.719e+00	3.265e+00	3.805e+00	4.347e+00
 1.1	8.075e-01	1.543e+00	2.176e+00	2.737e+00	3.267e+00	3.790e+00	4.318e+00
 1.2	8.159e-01	1.556e+00	2.186e+00	2.734e+00	3.243e+00	3.740e+00	4.240e+00
 1.3	8.195e-01	1.561e+00	2.183e+00	2.707e+00	3.178e+00	3.626e+00	4.070e+00
 1.4	8.017e-01	1.538e+00	2.162e+00	2.683e+00	3.145e+00	3.586e+00	4.030e+00
 1.5	5.582e-01	6.902e-01	9.125e-01	1.123e+00	1.258e+00	1.318e+00	1.334e+00
 1.6	6.936e-01	1.290e+00	1.943e+00	2.628e+00	3.324e+00	4.025e+00	4.725e+00
 1.7	6.893e-01	1.485e+00	2.542e+00	3.594e+00	4.572e+00	5.497e+00	6.382e+00
 1.8	6.385e-01	1.322e+00	2.277e+00	3.142e+00	3.727e+00	4.116e+00	4.399e+00
 1.9	5.982e-01	1.083e+00	1.420e+00	1.523e+00	1.526e+00	1.538e+00	1.582e+00
 2.0	5.749e-01	1.073e+00	1.531e+00	1.923e+00	2.215e+00	2.415e+00	2.560e+00
 2.1	5.558e-01	1.074e+00	1.625e+00	2.158e+00	2.551e+00	2.797e+00	2.955e+00
 2.2	5.392e-01	1.056e+00	1.619e+00	2.090e+00	2.367e+00	2.572e+00	2.776e+00
 2.3	5.302e-01	1.054e+00	1.627e+00	2.037e+00	2.173e+00	2.232e+00	2.291e+00
 2.4	5.129e-01	1.044e+00	1.753e+00	2.619e+00	3.287e+00	3.719e+00	4.044e+00
 2.5	4.903e-01	1.000e+00	1.721e+00	2.825e+00	4.075e+00	5.125e+00	5.972e+00
 2.6	4.715e-01	9.371e-01	1.525e+00	2.374e+00	3.494e+00	4.681e+00	5.756e+00
 2.7	4.439e-01	8.607e-01	1.331e+00	1.907e+00	2.569e+00	3.197e+00	3.680e+00
 2.8	4.233e-01	8.156e-01	1.246e+00	1.750e+00	2.318e+00	2.878e+00	3.334e+00
 2.9	4.093e-01	7.801e-01	1.164e+00	1.579e+00	2.003e+00	2.374e+00	2.637e+00
 3.0	4.108e-01	7.814e-01	1.149e+00	1.506e+00	1.797e+00	1.934e+00	1.869e+00
 3.1	4.186e-01	7.984e-01	1.170e+00	1.522e+00	1.807e+00	1.947e+00	1.894e+00
 3.2	4.219e-01	8.166e-01	1.205e+00	1.582e+00	1.908e+00	2.127e+00	2.205e+00
 3.3	4.043e-01	7.915e-01	1.175e+00	1.552e+00	1.893e+00	2.156e+00	2.307e+00
 3.4	3.673e-01	7.357e-01	1.106e+00	1.479e+00	1.856e+00	2.237e+00	2.626e+00
 3.5	3.267e-01	6.539e-01	9.859e-01	1.336e+00	1.718e+00	2.145e+00	2.629e+00
 3.6	2.829e-01	5.491e-01	8.124e-01	1.096e+00	1.425e+00	1.817e+00	2.277e+00
 3.7	1.938e-01	3.686e-01	5.425e-01	7.303e-01	9.418e-01	1.192e+00	1.491e+00
 3.8	1.312e-01	2.314e-01	3.124e-01	3.884e-01	4.718e-01	5.752e-01	7.071e-01
 3.9	4.404e-02	6.475e-02	6.846e-02	7.815e-02	1.063e-01	1.590e-01	2.359e-01
 4.0	-4.644e-02	-1.053e-01	-1.492e-01	-1.695e-01	-1.648e-01	-1.336e-01	-7.991e-02
 4.1	-1.722e-01	-3.227e-01	-4.343e-01	-4.916e-01	-4.979e-01	-4.640e-01	-4.033e-01
 4.2	-3.640e-01	-6.352e-01	-7.931e-01	-8.717e-01	-9.033e-01	-9.050e-01	-8.852e-01
 4.3	-5.213e-01	-8.746e-01	-1.042e+00	-1.103e+00	-1.114e+00	-1.101e+00	-1.075e+00
