time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	6.283e-01	1.091e+00	1.491e+00	1.855e+00	2.180e+00	2.465e+00	2.714e+00
 0.1	6.224e-01	1.071e+00	1.457e+00	1.809e+00	2.121e+00	2.384e+00	2.599e+00
 0.2	6.176e-01	1.056e+00	1.431e+00	1.785e+00	2.119e+00	2.428e+00	2.713e+00
 0.3	6.165e-01	1.052e+00	1.424e+00	1.780e+00	2.124e+00	2.455e+00	2.768e+00
 0.4	6.180e-01	1.058e+00	1.437e+00	1.815e+00	2.213e+00	2.649e+00	3.143e+00
 0.5	6.228e-01	1.069e+00	1.454e+00	1.843e+00	2.268e+00	2.763e+00	3.360e+00
 0.6	6.271e-01	1.077e+00	1.459e+00	1.835e+00	2.238e+00	2.691e+00	3.211e+00
 0.7	6.367e-01	1.091e+00	1.463e+00	1.823e+00	2.202e+00	2.624e+00	3.099e+00
 0.8	6.468e-01	1.098e+00	1.451e+00	1.771e+00	2.086e+00	2.399e+00	2.704e+00
 0.9	6.530e-01	1.110e+00	1.460e+00	1.768e+00	2.070e+00	2.376e+00	2.683e+00
 1.0	6.501e-01	1.108e+00	1.443e+00	1.727e+00	1.994e+00	2.252e+00	2.495e+00
 1.1	6.452e-01	1.112e+00	1.452e+00	1.734e+00	1.997e+00	2.249e+00	2.488e+00
 1.2	6.492e-01	1.127e+00	1.475e+00	1.753e+00	2.002e+00	2.232e+00	2.442e+00
 1.3	6.511e-01	1.140e+00	1.493e+00	1.770e+00	2.010e+00	2.227e+00	2.424e+00
 1.4	6.561e-01	1.160e+00	1.533e+00	1.833e+00	2.096e+00	2.337e+00	2.560e+00
 1.5	6.422e-01	1.108e+00	1.677e+00	2.208e+00	2.706e+00	3.191e+00	3.673e+00
 1.6	7.932e-01	1.333e+00	1.785e+00	2.053e+00	2.143e+00	2.189e+00	2.249e+00
 1.7	7.657e-01	1.242e+00	1.410e+00	1.263e+00	1.063e+00	9.391e-01	8.910e-01
 1.8	7.037e-01	1.228e+00	1.755e+00	2.206e+00	2.527e+00	2.752e+00	2.918e+00
 1.9	6.761e-01	1.240e+00	1.911e+00	2.635e+00	3.286e+00	3.845e+00	4.334e+00
 2.0	6.789e-01	1.240e+00	1.903e+00	2.689e+00	3.465e+00	4.171e+00	4.807e+00
 2.1	6.901e-01	1.222e+00	1.775e+00	2.429e+00	3.082e+00	3.664e+00	4.172e+00
 2.2	7.135e-01	1.227e+00	1.671e+00	2.138e+00	2.584e+00	2.974e+00	3.315e+00
 2.3	7.352e-01	1.250e+00	1.628e+00	1.940e+00	2.202e+00	2.419e+00	2.610e+00
 2.4	7.494e-01	1.280e+00	1.642e+00	1.879e+00	2.016e+00	2.083e+00	2.112e+00
 2.5	7.554e-01	1.298e+00	1.655e+00	1.873e+00	2.002e+00	2.073e+00	2.101e+00
 2.6	7.487e-01	1.305e+00	1.678e+00	1.875e+00	1.942e+00	1.936e+00	1.895e+00
 2.7	7.256e-01	1.283e+00	1.678e+00	1.909e+00	1.997e+00	1.983e+00	1.896e+00
 2.8	6.888e-01	1.228e+00	1.634e+00	1.925e+00	2.137e+00	2.279e+00	2.341e+00
 2.9	6.491e-01	1.162e+00	1.562e+00	1.884e+00	2.202e+00	2.558e+00	2.919e+00
 3.0	6.034e-01	1.087e+00	1.467e+00	1.768e+00	2.063e+00	2.444e+00	2.943e+00
 3.1	5.485e-01	1.003e+00	1.371e+00	1.645e+00	1.852e+00	2.044e+00	2.264e+00
 3.2	4.887e-01	9.083e-01	1.270e+00	1.570e+00	1.813e+00	2.022e+00	2.231e+00
 3.3	4.237e-01	7.985e-01	1.139e+00	1.454e+00	1.754e+00	2.048e+00	2.349e+00
 3.4	3.569e-01	6.742e-01	9.614e-01	1.236e+00	1.514e+00	1.804e+00	2.117e+00
 3.5	2.920e-01	5.369e-01	7.467e-01	9.381e-01	1.129e+00	1.330e+00	1.545e+00
 3.6	2.329e-01	4.010e-01	5.259e-01	6.282e-01	7.255e-01	8.260e-01	9.340e-01
 3.7	1.780e-01	2.599e-01	2.872e-01	2.918e-01	2.945e-01	3.029e-01	3.176e-01
 3.8	1.456e-01	1.473e-01	8.695e-02	1.051e-02	-6.065e-02	-1.194e-01	-1.607e-01
 3.9	9.510e-02	3.925e-02	-8.493e-02	-2.116e-01	-3.130e-01	-3.797e-01	-4.154e-01
 4.0	4.887e-02	-5.882e-02	-2.055e-01	-3.295e-01	-4.059e-01	-4.371e-01	-4.319e-01
 4.1	3.848e-02	-8.720e-02	-2.452e-01	-3.593e-01	-4.105e-01	-4.107e-01	-3.783e-01
 4.2	-9.601e-02	-3.283e-01	-5.369e-01	-6.578e-01	-6.990e-01	-6.870e-01	-6.446e-01
 4.3	-2.474e-01	-5.462e-01	-7.602e-01	-8.699e-01	-9.020e-01	-8.847e-01	-8.414e-01
 4.4	-4.006e-01	-8.199e-01	-1.019e+00	-1.062e+00	-1.038e+00	-9.892e-01	-9.316e-01
 4.5	-3.284e-01	-6.584e-01	-8.513e-01	-9.190e-01	-9.159e-01	-8.811e-01	-8.325e-01
 4.6	-4.097e-01	-7.914e-01	-9.905e-01	-1.059e+00	-1.063e+00	-1.036e+00	-9.961e-01
 4.7	-4.584e-01	-8.264e-01	-1.002e+00	-1.053e+00	-1.044e+00	-1.007e+00	-9.578e-01
 4.8	-4.665e-01	-8.131e-01	-9.766e-01	-1.023e+00	-1.008e+00	-9.654e-01	-9.086e-01
 4.9	-5.130e-01	-8.658e-01	-1.015e+00	-1.045e+00	-1.018e+00	-9.661e-01	-9.020e-01
