time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	5.201e-01	9.071e-01	1.199e+00	1.459e+00	1.702e+00	1.930e+00	2.150e+00
 0.1	5.234e-01	8.981e-01	1.185e+00	1.438e+00	1.661e+00	1.853e+00	2.015e+00
 0.2	5.077e-01	8.441e-01	1.056e+00	1.212e+00	1.343e+00	1.467e+00	1.596e+00
 0.3	5.116e-01	8.703e-01	1.124e+00	1.338e+00	1.542e+00	1.751e+00	1.967e+00
 0.4	5.127e-01	8.941e-01	1.186e+00	1.462e+00	1.762e+00	2.108e+00	2.510e+00
 0.5	5.191e-01	9.144e-01	1.203e+00	1.445e+00	1.672e+00	1.889e+00	2.094e+00
 0.6	5.209e-01	9.323e-01	1.228e+00	1.439e+00	1.571e+00	1.609e+00	1.547e+00
 0.7	5.300e-01	9.640e-01	1.284e+00	1.513e+00	1.663e+00	1.742e+00	1.763e+00
 0.8	5.239e-01	9.724e-01	1.319e+00	1.564e+00	1.715e+00	1.806e+00	1.883e+00
 0.9	5.153e-01	9.682e-01	1.336e+00	1.625e+00	1.851e+00	2.047e+00	2.238e+00
 1.0	5.168e-01	9.910e-01	1.396e+00	1.712e+00	1.951e+00	2.139e+00	2.311e+00
 1.1	4.934e-01	9.611e-01	1.371e+00	1.694e+00	1.931e+00	2.101e+00	2.234e+00
 1.2	4.644e-01	9.185e-01	1.320e+00	1.638e+00	1.877e+00	2.056e+00	2.206e+00
 1.3	4.415e-01	8.810e-01	1.276e+00	1.605e+00	1.867e+00	2.077e+00	2.256e+00
 1.4	4.173e-01	8.435e-01	1.232e+00	1.566e+00	1.846e+00	2.087e+00	2.302e+00
 1.5	3.969e-01	8.164e-01	1.210e+00	1.557e+00	1.855e+00	2.111e+00	2.332e+00
 1.6	3.860e-01	8.083e-01	1.211e+00	1.579e+00	1.911e+00	2.217e+00	2.502e+00
 1.7	3.705e-01	7.817e-01	1.180e+00	1.551e+00	1.894e+00	2.216e+00	2.520e+00
 1.8	3.547e-01	7.558e-01	1.144e+00	1.498e+00	1.813e+00	2.081e+00	2.293e+00
 1.9	3.501e-01	7.421e-01	1.123e+00	1.473e+00	1.781e+00	2.029e+00	2.201e+00
 2.0	3.536e-01	7.428e-01	1.121e+00	1.468e+00	1.771e+00	2.015e+00	2.182e+00
 2.1	3.584e-01	7.547e-01	1.141e+00	1.498e+00	1.810e+00	2.064e+00	2.245e+00
 2.2	3.603e-01	7.588e-01	1.152e+00	1.517e+00	1.839e+00	2.107e+00	2.316e+00
 2.3	3.625e-01	7.596e-01	1.148e+00	1.509e+00	1.829e+00	2.103e+00	2.328e+00
 2.4	3.650e-01	7.602e-01	1.149e+00	1.512e+00	1.841e+00	2.133e+00	2.388e+00
 2.5	3.682e-01	7.595e-01	1.145e+00	1.509e+00	1.850e+00	2.162e+00	2.445e+00
 2.6	3.733e-01	7.614e-01	1.142e+00	1.507e+00	1.850e+00	2.164e+00	2.441e+00
 2.7	3.759e-01	7.567e-01	1.132e+00	1.500e+00	1.860e+00	2.204e+00	2.524e+00
 2.8	3.754e-01	7.461e-01	1.114e+00	1.486e+00	1.861e+00	2.236e+00	2.600e+00
 2.9	3.727e-01	7.364e-01	1.103e+00	1.478e+00	1.862e+00	2.246e+00	2.618e+00
