time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	5.516e-01	9.422e-01	1.161e+00	1.273e+00	1.353e+00	1.460e+00	1.616e+00
 0.1	5.491e-01	9.214e-01	1.138e+00	1.288e+00	1.459e+00	1.691e+00	1.982e+00
 0.2	5.353e-01	8.944e-01	1.106e+00	1.248e+00	1.380e+00	1.523e+00	1.677e+00
 0.3	5.191e-01	8.439e-01	1.008e+00	1.113e+00	1.231e+00	1.371e+00	1.515e+00
 0.4	5.233e-01	8.410e-01	9.858e-01	1.069e+00	1.156e+00	1.248e+00	1.333e+00
 0.5	5.200e-01	8.253e-01	9.454e-01	9.705e-01	9.546e-01	9.032e-01	8.187e-01
 0.6	5.145e-01	7.916e-01	8.567e-01	7.955e-01	6.768e-01	5.320e-01	3.764e-01
 0.7	5.192e-01	8.006e-01	8.882e-01	8.616e-01	7.778e-01	6.699e-01	5.554e-01
 0.8	5.223e-01	8.001e-01	8.817e-01	8.425e-01	7.496e-01	6.400e-01	5.321e-01
 0.9	5.116e-01	7.853e-01	8.647e-01	8.152e-01	7.066e-01	5.921e-01	4.902e-01
 1.0	5.178e-01	7.977e-01	8.897e-01	8.579e-01	7.646e-01	6.686e-01	6.093e-01
 1.1	5.233e-01	8.174e-01	9.313e-01	9.304e-01	8.808e-01	8.273e-01	7.950e-01
 1.2	5.234e-01	8.397e-01	9.741e-01	9.702e-01	8.810e-01	7.686e-01	6.840e-01
 1.3	5.282e-01	8.734e-01	1.056e+00	1.100e+00	1.031e+00	8.865e-01	7.175e-01
 1.4	5.220e-01	8.738e-01	1.082e+00	1.180e+00	1.195e+00	1.157e+00	1.096e+00
 1.5	5.284e-01	8.995e-01	1.145e+00	1.295e+00	1.371e+00	1.394e+00	1.387e+00
 1.6	5.439e-01	9.657e-01	1.299e+00	1.572e+00	1.803e+00	2.011e+00	2.218e+00
 1.7	5.460e-01	9.849e-01	1.347e+00	1.655e+00	1.926e+00	2.176e+00	2.425e+00
 1.8	5.482e-01	1.001e+00	1.390e+00	1.737e+00	2.056e+00	2.357e+00	2.654e+00
 1.9	5.388e-01	9.908e-01	1.383e+00	1.723e+00	2.005e+00	2.207e+00	2.310e+00
 2.0	5.243e-01	9.705e-01	1.366e+00	1.719e+00	2.024e+00	2.276e+00	2.478e+00
 2.1	5.081e-01	9.458e-01	1.345e+00	1.709e+00	2.036e+00	2.322e+00	2.568e+00
 2.2	4.919e-01	9.159e-01	1.310e+00	1.673e+00	2.002e+00	2.296e+00	2.557e+00
 2.3	4.794e-01	8.844e-01	1.263e+00	1.615e+00	1.933e+00	2.218e+00	2.474e+00
 2.4	4.700e-01	8.599e-01	1.225e+00	1.571e+00	1.893e+00	2.192e+00	2.471e+00
 2.5	4.681e-01	8.460e-01	1.202e+00	1.539e+00	1.860e+00	2.163e+00	2.450e+00
 2.6	4.729e-01	8.486e-01	1.199e+00	1.534e+00	1.853e+00	2.151e+00	2.431e+00
 2.7	4.841e-01	8.607e-01	1.207e+00	1.539e+00	1.853e+00	2.148e+00	2.425e+00
 2.8	4.908e-01	8.720e-01	1.220e+00	1.552e+00	1.870e+00	2.173e+00	2.463e+00
 2.9	4.976e-01	8.844e-01	1.235e+00	1.570e+00	1.893e+00	2.204e+00	2.506e+00
 3.0	5.075e-01	9.094e-01	1.272e+00	1.615e+00	1.946e+00	2.267e+00	2.581e+00
 3.1	5.192e-01	9.474e-01	1.330e+00	1.691e+00	2.038e+00	2.378e+00	2.713e+00
 3.2	5.371e-01	9.932e-01	1.404e+00	1.788e+00	2.159e+00	2.526e+00	2.893e+00
 3.3	5.630e-01	1.038e+00	1.461e+00	1.859e+00	2.253e+00	2.651e+00	3.060e+00
 3.4	5.823e-01	1.069e+00	1.481e+00	1.853e+00	2.212e+00	2.582e+00	2.975e+00
 3.5	5.856e-01	1.068e+00	1.478e+00	1.845e+00	2.195e+00	2.534e+00	2.865e+00
 3.6	6.023e-01	1.082e+00	1.449e+00	1.755e+00	2.064e+00	2.411e+00	2.802e+00
 3.7	5.941e-01	1.063e+00	1.413e+00	1.678e+00	1.907e+00	2.139e+00	2.402e+00
 3.8	5.812e-01	1.006e+00	1.268e+00	1.439e+00	1.604e+00	1.817e+00	2.087e+00
 3.9	5.545e-01	9.549e-01	1.205e+00	1.331e+00	1.367e+00	1.373e+00	1.415e+00
 4.0	5.281e-01	8.119e-01	8.708e-01	7.854e-01	6.657e-01	5.928e-01	6.000e-01
 4.1	4.820e-01	7.741e-01	8.635e-01	8.126e-01	7.040e-01	5.951e-01	5.156e-01
 4.2	4.670e-01	7.566e-01	9.184e-01	9.784e-01	9.667e-01	9.188e-01	8.665e-01
 4.3	3.761e-01	6.208e-01	7.768e-01	8.583e-01	8.753e-01	8.546e-01	8.262e-01
 4.4	3.499e-01	5.423e-01	6.325e-01	6.534e-01	6.361e-01	6.080e-01	5.907e-01
 4.5	3.303e-01	5.296e-01	6.774e-01	8.107e-01	9.350e-01	1.049e+00	1.151e+00
 4.6	3.282e-01	5.482e-01	7.306e-01	9.193e-01	1.120e+00	1.327e+00	1.534e+00
 4.7	2.752e-01	4.553e-01	6.277e-01	8.258e-01	1.046e+00	1.279e+00	1.516e+00
 4.8	2.348e-01	3.813e-01	5.506e-01	7.736e-01	1.039e+00	1.324e+00	1.611e+00
 4.9	1.816e-01	2.904e-01	4.381e-01	6.541e-01	9.200e-01	1.214e+00	1.522e+00
 5.0	8.807e-02	1.005e-01	1.476e-01	2.736e-01	4.676e-01	7.038e-01	9.643e-01
 5.1	1.252e-02	-3.866e-02	-2.180e-02	8.241e-02	2.426e-01	4.350e-01	6.475e-01
 5.2	2.927e-02	-1.901e-02	-6.605e-02	-6.980e-02	-3.957e-02	8.001e-03	6.593e-02
 5.3	1.213e-01	2.891e-02	-7.780e-02	-1.155e-01	-7.615e-02	2.376e-02	1.554e-01
 5.4	1.252e-02	-3.866e-02	-2.180e-02	8.241e-02	2.426e-01	4.350e-01	6.475e-01
 5.5	2.927e-02	-1.901e-02	-6.605e-02	-6.980e-02	-3.957e-02	8.001e-03	6.593e-02
 5.6	6.024e-02	3.249e-02	-5.198e-02	-1.383e-01	-2.005e-01	-2.308e-01	-2.310e-01
 5.7	2.941e-01	4.655e-01	5.850e-01	6.707e-01	7.369e-01	7.947e-01	8.501e-01
 5.8	7.703e-02	-6.609e-03	-1.749e-01	-3.551e-01	-4.989e-01	-5.993e-01	-6.634e-01
 5.9	8.477e-02	8.969e-02	8.516e-02	9.796e-02	1.318e-01	1.742e-01	2.055e-01
 6.0	1.156e-01	1.378e-01	1.035e-01	5.487e-02	1.991e-02	4.317e-03	2.649e-03
 6.1	2.272e-02	-3.906e-02	-1.619e-01	-2.960e-01	-3.951e-01	-4.389e-01	-4.266e-01
 6.2	-3.738e-02	-9.416e-02	-1.678e-01	-2.460e-01	-3.145e-01	-3.622e-01	-3.870e-01
 6.3	-1.080e-01	-1.993e-01	-3.240e-01	-4.796e-01	-6.502e-01	-8.162e-01	-9.640e-01
 6.4	-2.361e-01	-4.162e-01	-6.050e-01	-8.190e-01	-1.056e+00	-1.300e+00	-1.533e+00
 6.5	-1.021e-01	-2.251e-01	-3.254e-01	-3.958e-01	-4.303e-01	-4.239e-01	-3.761e-01
