time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	7.200e-01	1.272e+00	1.641e+00	1.874e+00	2.030e+00	2.151e+00	2.265e+00
 0.1	6.722e-01	1.179e+00	1.500e+00	1.672e+00	1.748e+00	1.780e+00	1.808e+00
 0.2	6.206e-01	1.075e+00	1.350e+00	1.471e+00	1.493e+00	1.469e+00	1.440e+00
 0.3	5.786e-01	9.974e-01	1.248e+00	1.352e+00	1.359e+00	1.318e+00	1.265e+00
 0.4	5.406e-01	9.271e-01	1.168e+00	1.289e+00	1.348e+00	1.412e+00	1.543e+00
 0.5	5.078e-01	8.607e-01	1.080e+00	1.200e+00	1.291e+00	1.429e+00	1.686e+00
 0.6	4.826e-01	8.028e-01	9.974e-01	1.108e+00	1.202e+00	1.343e+00	1.582e+00
 0.7	4.641e-01	7.592e-01	9.341e-01	1.035e+00	1.127e+00	1.268e+00	1.494e+00
 0.8	4.525e-01	7.341e-01	8.885e-01	9.601e-01	9.979e-01	1.035e+00	1.089e+00
 0.9	4.447e-01	7.185e-01	8.632e-01	9.256e-01	9.608e-01	1.007e+00	1.086e+00
 1.0	4.444e-01	7.075e-01	8.317e-01	8.720e-01	8.778e-01	8.805e-01	8.938e-01
 1.1	4.406e-01	6.982e-01	8.161e-01	8.514e-01	8.507e-01	8.423e-01	8.392e-01
 1.2	4.270e-01	6.843e-01	8.088e-01	8.510e-01	8.538e-01	8.400e-01	8.196e-01
 1.3	4.076e-01	6.684e-01	8.157e-01	8.925e-01	9.331e-01	9.608e-01	9.821e-01
 1.4	3.831e-01	6.551e-01	8.363e-01	9.573e-01	1.047e+00	1.125e+00	1.199e+00
 1.5	5.087e-01	7.165e-01	8.398e-01	9.188e-01	9.475e-01	9.429e-01	9.208e-01
 1.6	6.105e-01	1.129e+00	1.425e+00	1.564e+00	1.581e+00	1.453e+00	1.219e+00
 1.7	5.863e-01	1.225e+00	1.611e+00	1.625e+00	1.426e+00	1.217e+00	1.075e+00
 1.8	5.741e-01	1.282e+00	1.921e+00	2.408e+00	2.801e+00	3.175e+00	3.578e+00
 1.9	5.744e-01	1.329e+00	2.116e+00	2.865e+00	3.634e+00	4.491e+00	5.464e+00
 2.0	5.534e-01	1.317e+00	2.197e+00	3.144e+00	4.219e+00	5.471e+00	6.880e+00
 2.1	5.208e-01	1.251e+00	2.142e+00	3.164e+00	4.364e+00	5.745e+00	7.219e+00
 2.2	5.000e-01	1.183e+00	2.002e+00	2.922e+00	3.967e+00	5.179e+00	6.542e+00
 2.3	4.849e-01	1.122e+00	1.887e+00	2.786e+00	3.881e+00	5.227e+00	6.772e+00
 2.4	4.694e-01	1.051e+00	1.715e+00	2.457e+00	3.330e+00	4.419e+00	5.752e+00
 2.5	4.578e-01	9.896e-01	1.560e+00	2.148e+00	2.759e+00	3.430e+00	4.217e+00
 2.6	4.442e-01	9.245e-01	1.423e+00	1.945e+00	2.524e+00	3.219e+00	4.086e+00
 2.7	4.225e-01	8.329e-01	1.209e+00	1.555e+00	1.899e+00	2.288e+00	2.783e+00
 2.8	4.062e-01	7.622e-01	1.036e+00	1.244e+00	1.418e+00	1.597e+00	1.823e+00
 2.9	3.901e-01	7.093e-01	9.094e-01	1.011e+00	1.052e+00	1.064e+00	1.070e+00
 3.0	3.745e-01	6.777e-01	8.451e-01	9.020e-01	8.990e-01	8.811e-01	8.811e-01
 3.1	3.507e-01	6.434e-01	8.083e-01	8.660e-01	8.682e-01	8.709e-01	9.157e-01
 3.2	3.143e-01	5.982e-01	7.859e-01	8.873e-01	9.359e-01	9.696e-01	1.021e+00
 3.3	2.725e-01	5.416e-01	7.625e-01	9.352e-01	1.071e+00	1.187e+00	1.297e+00
 3.4	2.080e-01	4.299e-01	6.537e-01	8.705e-01	1.080e+00	1.280e+00	1.473e+00
 3.5	1.143e-01	2.569e-01	4.364e-01	6.484e-01	8.838e-01	1.134e+00	1.390e+00
 3.6	1.128e-02	4.533e-02	1.428e-01	2.975e-01	5.001e-01	7.395e-01	1.003e+00
 3.7	-9.208e-02	-1.603e-01	-1.378e-01	-3.317e-02	1.406e-01	3.679e-01	6.344e-01
 3.8	-1.755e-01	-3.426e-01	-4.022e-01	-3.659e-01	-2.561e-01	-8.736e-02	1.243e-01
 3.9	-2.553e-01	-5.019e-01	-6.171e-01	-6.222e-01	-5.492e-01	-4.225e-01	-2.602e-01
 4.0	-3.365e-01	-6.695e-01	-8.575e-01	-9.251e-01	-9.139e-01	-8.532e-01	-7.635e-01
 4.1	-4.172e-01	-8.612e-01	-1.125e+00	-1.251e+00	-1.292e+00	-1.284e+00	-1.250e+00
 4.2	-4.168e-01	-9.015e-01	-1.215e+00	-1.384e+00	-1.468e+00	-1.506e+00	-1.519e+00
 4.3	-4.385e-01	-8.652e-01	-1.135e+00	-1.279e+00	-1.351e+00	-1.386e+00	-1.401e+00
 4.4	-5.122e-01	-1.076e+00	-1.383e+00	-1.510e+00	-1.555e+00	-1.563e+00	-1.553e+00
 4.5	-4.865e-01	-9.853e-01	-1.299e+00	-1.456e+00	-1.521e+00	-1.539e+00	-1.531e+00
 4.6	-4.869e-01	-9.319e-01	-1.205e+00	-1.363e+00	-1.454e+00	-1.500e+00	-1.518e+00
 4.7	-4.830e-01	-9.584e-01	-1.270e+00	-1.431e+00	-1.500e+00	-1.519e+00	-1.514e+00
 4.8	-4.884e-01	-9.385e-01	-1.222e+00	-1.378e+00	-1.456e+00	-1.489e+00	-1.498e+00
 4.9	-4.821e-01	-9.334e-01	-1.212e+00	-1.357e+00	-1.424e+00	-1.449e+00	-1.450e+00
