time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	6.248e-01	1.215e+00	1.808e+00	2.404e+00	2.992e+00	3.566e+00	4.124e+00
 0.1	6.071e-01	1.170e+00	1.729e+00	2.305e+00	2.908e+00	3.489e+00	3.988e+00
 0.2	6.041e-01	1.171e+00	1.749e+00	2.343e+00	2.917e+00	3.430e+00	3.882e+00
 0.3	5.881e-01	1.172e+00	1.848e+00	2.666e+00	3.562e+00	4.434e+00	5.251e+00
 0.4	5.549e-01	1.132e+00	1.907e+00	2.948e+00	4.055e+00	5.060e+00	5.940e+00
 0.5	5.231e-01	1.086e+00	1.934e+00	3.082e+00	4.168e+00	4.871e+00	5.243e+00
 0.6	5.016e-01	1.069e+00	1.981e+00	3.178e+00	4.304e+00	5.071e+00	5.528e+00
 0.7	5.113e-01	1.228e+00	2.457e+00	3.851e+00	4.982e+00	5.674e+00	6.077e+00
 0.8	5.134e-01	1.299e+00	2.578e+00	3.899e+00	5.022e+00	5.985e+00	6.804e+00
 0.9	4.923e-01	1.252e+00	2.477e+00	3.658e+00	4.528e+00	5.123e+00	5.570e+00
 1.0	4.376e-01	9.886e-01	1.916e+00	2.950e+00	3.759e+00	4.343e+00	4.803e+00
 1.1	3.950e-01	7.587e-01	1.165e+00	1.565e+00	1.807e+00	1.911e+00	1.979e+00
 1.2	3.755e-01	7.007e-01	1.009e+00	1.273e+00	1.440e+00	1.513e+00	1.546e+00
