time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	1.427e+00	2.853e+00	4.278e+00	5.702e+00	7.125e+00	8.548e+00	9.971e+00
 0.1	1.343e+00	2.686e+00	4.028e+00	5.370e+00	6.712e+00	8.055e+00	9.397e+00
 0.2	1.369e+00	2.737e+00	4.104e+00	5.470e+00	6.836e+00	8.202e+00	9.567e+00
 0.3	1.398e+00	2.795e+00	4.191e+00	5.587e+00	6.981e+00	8.376e+00	9.770e+00
 0.4	1.352e+00	2.702e+00	4.052e+00	5.401e+00	6.748e+00	8.096e+00	9.442e+00
 0.5	1.347e+00	2.692e+00	4.035e+00	5.377e+00	6.717e+00	8.057e+00	9.396e+00
 0.6	1.382e+00	2.761e+00	4.139e+00	5.515e+00	6.890e+00	8.264e+00	9.637e+00
 0.7	1.348e+00	2.694e+00	4.039e+00	5.383e+00	6.727e+00	8.070e+00	9.414e+00
 0.8	1.300e+00	2.598e+00	3.895e+00	5.190e+00	6.484e+00	7.778e+00	9.070e+00
 0.9	1.352e+00	2.700e+00	4.044e+00	5.386e+00	6.726e+00	8.064e+00	9.402e+00
 1.0	1.359e+00	2.713e+00	4.063e+00	5.410e+00	6.754e+00	8.097e+00	9.439e+00
 1.1	1.442e+00	2.880e+00	4.315e+00	5.747e+00	7.176e+00	8.603e+00	1.003e+01
 1.2	1.295e+00	2.589e+00	3.883e+00	5.176e+00	6.469e+00	7.762e+00	9.055e+00
 1.3	1.427e+00	2.852e+00	4.275e+00	5.696e+00	7.115e+00	8.533e+00	9.951e+00
 1.4	1.451e+00	2.901e+00	4.348e+00	5.793e+00	7.238e+00	8.681e+00	1.012e+01
 1.5	1.425e+00	2.849e+00	4.274e+00	5.699e+00	7.123e+00	8.548e+00	9.972e+00
 1.6	1.482e+00	2.967e+00	4.454e+00	5.942e+00	7.431e+00	8.922e+00	1.041e+01
 1.7	1.506e+00	3.016e+00	4.529e+00	6.044e+00	7.561e+00	9.081e+00	1.060e+01
 1.8	1.456e+00	2.911e+00	4.368e+00	5.824e+00	7.281e+00	8.738e+00	1.020e+01
 1.9	1.447e+00	2.891e+00	4.332e+00	5.771e+00	7.207e+00	8.642e+00	1.008e+01
 2.0	1.218e+00	2.434e+00	3.648e+00	4.862e+00	6.075e+00	7.287e+00	8.499e+00
 2.1	1.352e+00	2.703e+00	4.054e+00	5.403e+00	6.753e+00	8.101e+00	9.450e+00
 2.2	1.484e+00	2.965e+00	4.443e+00	5.920e+00	7.396e+00	8.871e+00	1.034e+01
 2.3	1.494e+00	2.987e+00	4.480e+00	5.972e+00	7.464e+00	8.956e+00	1.045e+01
 2.4	1.511e+00	3.021e+00	4.531e+00	6.041e+00	7.550e+00	9.060e+00	1.057e+01
 2.5	1.300e+00	2.598e+00	3.895e+00	5.190e+00	6.484e+00	7.778e+00	9.071e+00
 2.6	1.434e+00	2.866e+00	4.296e+00	5.724e+00	7.150e+00	8.576e+00	1.000e+01
 2.7	1.422e+00	2.843e+00	4.263e+00	5.682e+00	7.101e+00	8.519e+00	9.936e+00
 2.8	1.378e+00	2.754e+00	4.128e+00	5.501e+00	6.872e+00	8.242e+00	9.612e+00
 2.9	1.334e+00	2.666e+00	3.996e+00	5.324e+00	6.651e+00	7.975e+00	9.298e+00
 3.0	1.261e+00	2.520e+00	3.776e+00	5.031e+00	6.283e+00	7.534e+00	8.783e+00
 3.1	1.345e+00	2.691e+00	4.037e+00	5.384e+00	6.730e+00	8.078e+00	9.425e+00
 3.2	1.342e+00	2.686e+00	4.032e+00	5.380e+00	6.731e+00	8.083e+00	9.437e+00
 3.3	1.418e+00	2.838e+00	4.260e+00	5.682e+00	7.106e+00	8.530e+00	9.956e+00
 3.4	1.408e+00	2.813e+00	4.216e+00	5.618e+00	7.018e+00	8.417e+00	9.815e+00
 3.5	1.029e+00	2.057e+00	3.084e+00	4.111e+00	5.138e+00	6.165e+00	7.193e+00
 3.6	1.086e+00	2.169e+00	3.250e+00	4.328e+00	5.405e+00	6.479e+00	7.552e+00
 3.7	1.138e+00	2.278e+00	3.421e+00	4.565e+00	5.711e+00	6.859e+00	8.008e+00
 3.8	1.215e+00	2.432e+00	3.650e+00	4.870e+00	6.091e+00	7.313e+00	8.537e+00
 3.9	1.142e+00	2.286e+00	3.431e+00	4.578e+00	5.727e+00	6.878e+00	8.030e+00
 4.0	1.058e+00	2.114e+00	3.170e+00	4.225e+00	5.279e+00	6.332e+00	7.386e+00
 4.1	1.156e+00	2.312e+00	3.468e+00	4.624e+00	5.780e+00	6.936e+00	8.092e+00
 4.2	1.171e+00	2.341e+00	3.511e+00	4.682e+00	5.852e+00	7.022e+00	8.193e+00
 4.3	1.271e+00	2.542e+00	3.814e+00	5.087e+00	6.361e+00	7.636e+00	8.911e+00
 4.4	1.342e+00	2.685e+00	4.028e+00	5.371e+00	6.715e+00	8.060e+00	9.405e+00
 4.5	1.354e+00	2.704e+00	4.050e+00	5.394e+00	6.736e+00	8.075e+00	9.413e+00
 5.0	1.349e+00	2.695e+00	4.036e+00	5.375e+00	6.711e+00	8.045e+00	9.377e+00
 5.5	1.262e+00	2.521e+00	3.777e+00	5.032e+00	6.284e+00	7.535e+00	8.784e+00
 6.0	1.304e+00	2.606e+00	3.906e+00	5.205e+00	6.501e+00	7.797e+00	9.090e+00
