time [Myr]	zeta(p=1)	zeta(p=2)	zeta(p=3)	zeta(p=4)	zeta(p=5)	zeta(p=6)	zeta(p=7)
 0.0	1.578e+00	3.154e+00	4.729e+00	6.302e+00	7.873e+00	9.444e+00	1.101e+01
 0.1	1.512e+00	3.023e+00	4.532e+00	6.041e+00	7.549e+00	9.056e+00	1.056e+01
 0.2	1.465e+00	2.927e+00	4.386e+00	5.842e+00	7.295e+00	8.746e+00	1.020e+01
 0.3	1.516e+00	3.028e+00	4.537e+00	6.043e+00	7.546e+00	9.048e+00	1.055e+01
 0.4	1.486e+00	2.968e+00	4.448e+00	5.925e+00	7.400e+00	8.873e+00	1.035e+01
 0.5	1.232e+00	2.464e+00	3.697e+00	4.929e+00	6.163e+00	7.396e+00	8.629e+00
 0.6	1.416e+00	2.830e+00	4.243e+00	5.654e+00	7.064e+00	8.474e+00	9.882e+00
 0.7	1.348e+00	2.694e+00	4.039e+00	5.383e+00	6.726e+00	8.068e+00	9.409e+00
 0.8	1.364e+00	2.727e+00	4.089e+00	5.451e+00	6.812e+00	8.172e+00	9.531e+00
 0.9	1.250e+00	2.499e+00	3.746e+00	4.992e+00	6.237e+00	7.482e+00	8.726e+00
 1.0	1.308e+00	2.615e+00	3.921e+00	5.225e+00	6.528e+00	7.831e+00	9.133e+00
 1.1	1.358e+00	2.715e+00	4.072e+00	5.429e+00	6.786e+00	8.142e+00	9.499e+00
 1.2	1.364e+00	2.727e+00	4.089e+00	5.451e+00	6.812e+00	8.173e+00	9.534e+00
 1.3	1.412e+00	2.824e+00	4.237e+00	5.650e+00	7.063e+00	8.477e+00	9.892e+00
 1.4	1.504e+00	3.006e+00	4.507e+00	6.008e+00	7.507e+00	9.006e+00	1.050e+01
 1.5	1.349e+00	2.695e+00	4.040e+00	5.382e+00	6.724e+00	8.064e+00	9.404e+00
 1.6	1.431e+00	2.858e+00	4.283e+00	5.707e+00	7.128e+00	8.547e+00	9.965e+00
 1.7	1.354e+00	2.705e+00	4.054e+00	5.401e+00	6.747e+00	8.091e+00	9.434e+00
 1.8	1.162e+00	2.324e+00	3.485e+00	4.646e+00	5.806e+00	6.966e+00	8.126e+00
 1.9	1.282e+00	2.564e+00	3.844e+00	5.123e+00	6.401e+00	7.678e+00	8.955e+00
 2.0	1.295e+00	2.586e+00	3.875e+00	5.163e+00	6.448e+00	7.732e+00	9.014e+00
 2.1	1.259e+00	2.516e+00	3.771e+00	5.024e+00	6.276e+00	7.527e+00	8.777e+00
 2.2	1.297e+00	2.588e+00	3.876e+00	5.161e+00	6.443e+00	7.724e+00	9.004e+00
 2.3	1.300e+00	2.598e+00	3.894e+00	5.188e+00	6.482e+00	7.775e+00	9.068e+00
 2.4	1.267e+00	2.535e+00	3.805e+00	5.075e+00	6.347e+00	7.620e+00	8.894e+00
 2.5	1.319e+00	2.638e+00	3.957e+00	5.275e+00	6.593e+00	7.911e+00	9.229e+00
 2.6	1.309e+00	2.620e+00	3.932e+00	5.246e+00	6.560e+00	7.876e+00	9.191e+00
 2.7	1.235e+00	2.468e+00	3.702e+00	4.935e+00	6.168e+00	7.401e+00	8.635e+00
 2.8	1.280e+00	2.557e+00	3.833e+00	5.108e+00	6.382e+00	7.655e+00	8.928e+00
 2.9	1.269e+00	2.536e+00	3.804e+00	5.071e+00	6.338e+00	7.605e+00	8.871e+00
 3.0	1.256e+00	2.508e+00	3.758e+00	5.005e+00	6.251e+00	7.495e+00	8.738e+00
 3.1	1.274e+00	2.545e+00	3.815e+00	5.084e+00	6.352e+00	7.619e+00	8.885e+00
 3.2	1.307e+00	2.613e+00	3.917e+00	5.219e+00	6.521e+00	7.821e+00	9.121e+00
 3.3	1.282e+00	2.563e+00	3.841e+00	5.118e+00	6.395e+00	7.671e+00	8.947e+00
 3.4	1.284e+00	2.565e+00	3.843e+00	5.120e+00	6.396e+00	7.671e+00	8.945e+00
 3.5	1.262e+00	2.519e+00	3.774e+00	5.026e+00	6.277e+00	7.526e+00	8.774e+00
 3.6	1.304e+00	2.604e+00	3.901e+00	5.194e+00	6.486e+00	7.775e+00	9.063e+00
 3.7	1.388e+00	2.773e+00	4.155e+00	5.536e+00	6.915e+00	8.293e+00	9.670e+00
 3.8	1.312e+00	2.622e+00	3.929e+00	5.234e+00	6.538e+00	7.841e+00	9.142e+00
 3.9	1.318e+00	2.635e+00	3.950e+00	5.263e+00	6.575e+00	7.887e+00	9.197e+00
 4.0	1.446e+00	2.891e+00	4.335e+00	5.778e+00	7.221e+00	8.663e+00	1.010e+01
 4.1	1.505e+00	3.008e+00	4.511e+00	6.013e+00	7.514e+00	9.014e+00	1.051e+01
 4.2	1.465e+00	2.928e+00	4.389e+00	5.849e+00	7.308e+00	8.766e+00	1.022e+01
 4.3	1.399e+00	2.797e+00	4.194e+00	5.590e+00	6.986e+00	8.381e+00	9.776e+00
 4.4	1.316e+00	2.630e+00	3.943e+00	5.255e+00	6.566e+00	7.876e+00	9.186e+00
 4.5	1.345e+00	2.688e+00	4.030e+00	5.370e+00	6.708e+00	8.046e+00	9.384e+00
 4.6	1.251e+00	2.501e+00	3.750e+00	4.998e+00	6.245e+00	7.492e+00	8.739e+00
 4.7	1.311e+00	2.621e+00	3.929e+00	5.236e+00	6.542e+00	7.847e+00	9.152e+00
 4.8	1.276e+00	2.553e+00	3.829e+00	5.105e+00	6.381e+00	7.657e+00	8.932e+00
 4.9	1.174e+00	2.348e+00	3.520e+00	4.692e+00	5.863e+00	7.035e+00	8.206e+00
